city,total,owner_occupied,renter_occupied
Allen,36307,25354,10953
Anna,6858,5296,1562
Blue Ridge,358,280,78
Carrollton,51059,29762,21297
Celina,8382,7812,570
Dallas,528038,223665,304373
Fairview,4390,3214,1176
Farmersville,1414,1022,392
Frisco,74081,49287,24794
Garland,80811,49809,31002
Hebron,100,87,13
Josephine,1437,1366,71
Lavon,1862,1609,253
Lowry Crossing,642,634,8
Lucas,2724,2450,274
McKinney,70787,44788,25999
Melissa,5333,4711,622
Murphy,5907,5329,578
Nevada,427,410,17
New Hope,298,224,74
Parker,1553,1525,28
Plano,110522,62592,47930
Princeton,6809,5448,1361
Prosper,10090,8896,1194
Richardson,45444,23104,22340
Royse City,5894,5067,827
Sachse,10110,8791,1319
St. Paul,324,307,17
Seis Lagos,380,380,0
Trenton,262,192,70
Van Alstyne,1869,1401,468
Westminster,353,255,98
Weston,73,62,11
Wylie,18390,14009,4381
Addison,10042,1801,8241
Balch Springs,8472,5410,3062
Bear Creek Ranch,843,697,146
Cedar Hill,16388,11368,5020
Cockrell Hill,1156,763,393
Combine,828,758,70
Coppell,15533,10727,4806
DeSoto,20975,14787,6188
Duncanville,13385,8742,4643
Farmers Branch,14914,6880,8034
Ferris,935,638,297
Glenn Heights,5734,4520,1214
Grand Prairie,66943,38764,28179
Grapevine,21497,11162,10335
Highland Park,3249,2845,404
Hutchins,1415,708,707
Irving,94252,36104,58148
Lancaster,14648,9619,5029
Lewisville,50147,23344,26803
Mesquite,50362,31854,18508
Ovilla,1487,1369,118
Rowlett,21677,16463,5214
Seagoville,5401,4473,928
Sunnyvale,2654,2205,449
University Park,7174,6097,1077
Wilmer,2039,1248,791
Argyle,1660,1514,146
Aubrey,2538,1926,612
Bartonville,687,628,59
Copper Canyon,835,806,29
Corinth,8143,6113,2030
Cross Roads,754,721,33
Denton,53983,26544,27439
DISH,212,207,5
Double Oak,996,974,22
Flower Mound,27831,22899,4932
Fort Worth,334230,189660,144570
Hackberry,942,728,214
Haslet,922,852,70
Hickory Creek,1781,1391,390
Highland Village,5380,4975,405
Justin,1889,1546,343
Krugerville,751,731,20
Krum,1963,1514,449
Lake Dallas,2946,2101,845
Lakewood Village,287,281,6
Lantana,3920,3655,265
Little Elm,17604,12029,5575
New Fairview,439,371,68
Northlake,2483,1377,1106
Oak Point,2035,1754,281
Paloma Creek,1096,888,208
Paloma Creek South,2844,2366,478
Pilot Point,1749,1423,326
Ponder,822,643,179
Providence Village,2650,1963,687
Roanoke,4019,2237,1782
Sanger,3537,2627,910
Savannah,2364,1739,625
Shady Shores,1002,972,30
Southlake,9354,8937,417
The Colony,18014,11131,6883
Trophy Club,4784,4262,522
Westlake,510,499,11
Arlington,140408,76941,63467
Azle,4987,3545,1442
Bedford,20591,10600,9991
Benbrook,10019,6873,3146
Blue Mound,797,636,161
Briar,2182,1794,388
Burleson,17504,12475,5029
Colleyville,9231,8826,405
Crowley,6172,4567,1605
Dalworthington Gardens,765,667,98
Edgecliff Village,1259,1079,180
Euless,24104,9520,14584
Everman,2188,1214,974
Forest Hill,4332,3003,1329
Haltom City,17208,8692,8516
Hurst,15529,9236,6293
Keller,16058,13155,2903
Kennedale,3028,2271,757
Lakeside,550,506,44
Lake Worth,1793,1275,518
Mansfield,24796,17954,6842
Newark,390,297,93
North Richland Hills,27334,17527,9807
Pantego,1107,666,441
Pecan Acres,1369,1245,124
Pelican Bay,804,500,304
Rendon,5074,4118,956
Reno,1102,906,196
Richland Hills,3156,1998,1158
River Oaks,2305,1776,529
Saginaw,8684,6177,2507
Sansom Park,1768,850,918
Watauga,7903,6354,1549
Westover Hills,344,310,34
Westworth Village,1087,548,539
White Settlement,6617,3994,2623
